      Lon      Lat    Year  Fraction
    13.75    55.75    2126      1.00
    13.75    55.75    2127      1.00
    13.75    55.75    2128      1.00
    13.75    55.75    2129      1.00
    13.75    55.75    2130      1.00
    23.75    61.75    1980      0.00
    23.75    61.75    1981      0.00
    23.75    61.75    1982      0.00
    23.75    61.75    1983      0.00
    23.75    61.75    1984      0.00
    23.75    61.75    1985      0.00
    23.75    61.75    1986      0.00
    23.75    61.75    1987      0.00
    23.75    61.75    1988      0.00
    23.75    61.75    1989      0.00
    23.75    61.75    1990      0.00
    23.75    61.75    1991      0.00
    23.75    61.75    1992      0.00
    23.75    61.75    1993      0.00
    23.75    61.75    1994      0.00
    23.75    61.75    1995      0.00
    23.75    61.75    1996      0.00
    23.75    61.75    1997      0.00
    23.75    61.75    1998      0.00
    23.75    61.75    1999      0.00
    23.75    61.75    2000      0.00
    23.75    61.75    2001      0.00
    23.75    61.75    2002      0.00
    23.75    61.75    2003      0.00
    23.75    61.75    2004      0.00
    23.75    61.75    2005      0.00
    23.75    61.75    2006      0.00
    23.75    61.75    2007      0.00
    23.75    61.75    2008      0.00
    23.75    61.75    2009      0.00
    23.75    61.75    2010      0.00
    23.75    61.75    2011      0.09
    23.75    61.75    2012      0.12
    23.75    61.75    2013      0.16
    23.75    61.75    2014      0.19
    23.75    61.75    2015      0.21
    23.75    61.75    2016      0.23
    23.75    61.75    2017      0.25
    23.75    61.75    2018      0.27
    23.75    61.75    2019      0.30
    23.75    61.75    2020      0.31
    23.75    61.75    2021      0.34
    23.75    61.75    2022      0.35
    23.75    61.75    2023      0.36
    23.75    61.75    2024      0.38
    23.75    61.75    2025      0.39
    23.75    61.75    2026      0.40
    23.75    61.75    2027      0.41
    23.75    61.75    2028      0.42
    23.75    61.75    2029      0.44
    23.75    61.75    2030      0.44
    23.75    61.75    2031      0.45
    23.75    61.75    2032      0.46
    23.75    61.75    2033      0.47
    23.75    61.75    2034      0.48
    23.75    61.75    2035      0.49
    23.75    61.75    2036      0.50
    23.75    61.75    2037      0.51
    23.75    61.75    2038      0.52
    23.75    61.75    2039      0.53
    23.75    61.75    2040      0.53
    23.75    61.75    2041      0.54
    23.75    61.75    2042      0.55
    23.75    61.75    2043      0.57
    23.75    61.75    2044      0.58
    23.75    61.75    2045      0.59
    23.75    61.75    2046      0.60
    23.75    61.75    2047      0.60
    23.75    61.75    2048      0.61
    23.75    61.75    2049      0.62
    23.75    61.75    2050      0.63
    23.75    61.75    2051      0.64
    23.75    61.75    2052      0.65
    23.75    61.75    2053      0.67
    23.75    61.75    2054      0.67
    23.75    61.75    2055      0.68
    23.75    61.75    2056      0.68
    23.75    61.75    2057      0.69
    23.75    61.75    2058      0.70
    23.75    61.75    2059      0.71
    23.75    61.75    2060      0.72
    23.75    61.75    2061      0.75
    23.75    61.75    2062      0.75
    23.75    61.75    2063      0.76
    23.75    61.75    2064      0.76
    23.75    61.75    2065      0.77
    23.75    61.75    2066      0.78
    23.75    61.75    2067      0.81
    23.75    61.75    2068      0.81
    23.75    61.75    2069      0.84
    23.75    61.75    2070      0.85
    23.75    61.75    2071      0.85
    23.75    61.75    2072      0.85
    23.75    61.75    2073      0.87
    23.75    61.75    2074      0.88
    23.75    61.75    2075      0.89
    23.75    61.75    2076      0.90
    23.75    61.75    2077      0.91
    23.75    61.75    2078      0.92
    23.75    61.75    2079      0.94
    23.75    61.75    2080      0.94
    23.75    61.75    2081      0.96
    23.75    61.75    2082      0.97
    23.75    61.75    2083      0.97
    23.75    61.75    2084      0.99
    23.75    61.75    2085      0.99
    23.75    61.75    2086      0.99
    23.75    61.75    2087      1.00
    23.75    61.75    2088      1.00
    23.75    61.75    2089      1.00
    23.75    61.75    2090      1.00
    23.75    61.75    2091      1.00
    23.75    61.75    2092      1.00
    23.75    61.75    2093      1.00
    23.75    61.75    2094      1.00
    23.75    61.75    2095      1.00
    23.75    61.75    2096      1.00
    23.75    61.75    2097      1.00
